Station Name,Latitude,Longitude
I01AR,-40.70,-70.60
I02AR,-54.58,-67.31
I03AU,-68.40,77.60
I04AU,-34.60,116.36
I05AU,-42.49,147.68
I06AU,-12.30,97.00
I07AU,-19.93,134.33
I08BO,-16.22,-68.45
I09BR,-15.64,-48.02
I10CA,50.20,-96.03
I11CV,15.26,-23.18
I13CL,-27.13,-109.36
I14CL,-33.65,-78.80
I16CN,25.00,102.80
I17CI,6.67,-4.86
I18DK,77.48,-69.29
I19DJ,11.30,43.50
I20EQ,0.00,-91.70
I21FR,-8.87,-140.16
I22FR,-22.18,166.85
I23FR,-49.20,69.10
I24FR,-17.75,-149.30
I25FR,16.13,-61.63
I26DE,48.85,13.71
I27DE,-70.66,-8.32
I30JP,35.31,140.31
I31KZ,50.41,58.03
I32KE,-1.24,36.83
I33MG,-19.01,47.30
I34MN,47.80,106.41
I35NA,-19.19,17.58
I36NZ,-43.92,176.48
I37NO,69.08,18.60
I39PW,7.54,134.55
I40PN,-4.10,152.10
I41PY,-26.34,-57.31
I42PT,37.80,-25.50
I43RU,56.70,37.30
I44RU,53.11,157.71
I45RU,43.70,131.90
I46RU,53.95,84.82
I47ZA,-28.62,25.24
I48TN,35.81,9.32
I49GB,-37.09,-12.33
I50GB,-7.94,-14.38
I51GB,32.00,-64.50
I52GB,-7.38,72.48
I53US,64.88,-147.86
I55US,-77.73,167.59
I56US,48.26,-117.13
I58US,28.10,-177.20
I59US,19.59,-155.89
I60US,19.30,166.60
